rank,side,term,tfidf
307,right,business_insider,0.0194941874293
308,right,told_politico,0.0194241484325
309,right,work-related_emails,0.0194008021003
310,right,white_supremacy,0.019377455768
311,right,classified_emails,0.019284070439
312,right,17_percent,0.019284070439
313,right,33_percent,0.0192607241068
314,right,democrat_hillary_clinton,0.0192373777745
315,right,near_future,0.01919068511
316,right,electoral_college,0.0191673387778
317,right,tuesday_evening,0.0191673387778
318,right,put_forward,0.0191439924455
319,right,conventional_wisdom,0.0191206461133
320,right,abraham_lincoln,0.0191206461133
321,right,strong_sense,0.019097299781
322,right,drudge_report,0.019097299781
323,right,first_presidential_debate,0.0190506071165
324,right,criminal_aliens,0.0190506071165
325,right,security_clearance,0.0190272607843
326,right,national_association,0.019003914452
327,right,political_establishment,0.0189338754553
328,right,weeks_later,0.0189338754553
329,right,benghazi_libya,0.0189338754553
330,right,49_percent,0.018910529123
331,right,gave_birth,0.018910529123
332,right,international_law,0.0188871827908
333,right,dylann_roof,0.0188638364585
334,right,brokered_convention,0.018817143794
335,right,syed_farook,0.018817143794
336,right,police_arrived,0.0187471047973
337,right,16_percent,0.0187004121328
338,right,difficult_time,0.0187004121328
339,right,police_station,0.0186770658005
340,right,found_dead,0.0186770658005
341,right,tashfeen_malik,0.018630373136
342,right,exclusive_interview,0.0185836804715
343,right,next_page,0.0185836804715
344,right,black_panthers,0.0185836804715
345,right,pulse_nightclub,0.0185836804715
346,right,july_22_2016,0.018536987807
347,right,emphasis_added,0.018536987807
348,right,central_america,0.018536987807
349,right,2_billion,0.0184902951425
350,right,tel_aviv,0.0184902951425
351,right,55_percent,0.0184902951425
352,right,msnbcs_morning_joe,0.0184902951425
353,right,taking_advantage,0.0184669488103
354,right,conspiracy_theory,0.0184202561458
355,right,recent_polls,0.0183969098135
356,right,legal_status,0.0183969098135
357,right,expressed_concern,0.0183969098135
358,right,religious_minorities,0.0183035244845
359,right,almost_immediately,0.01825683182
360,right,walked_away,0.01825683182
361,right,july_14_2016,0.0181867928232
362,right,september_8_2016,0.0180467148297
363,right,muslim_immigrants,0.017976675833
364,right,top_priority,0.017976675833
365,right,incident_occurred,0.0179533295007
366,right,sen_rand_paul,0.0179533295007
367,right,month_ago,0.0179299831685
368,right,vetting_process,0.0179066368362
369,right,republican_presidential_front-runner_donald,0.0179066368362
370,right,obama_white_house,0.017883290504
371,right,iphone_7,0.017883290504
